"year","month","P_ID","T_ID","AB","HIT","H2","H3","HR","RBI","BB","HP","KK","GD","AVG","PA","SB","CS","SF"
2020,7,64468,"SS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,69737,"HH",7,0,0,0,0,0,0,0,4,0,0,7,0,0,0
2020,7,66707,"HH",5,0,0,0,0,0,0,0,2,0,0,5,0,0,0
2020,7,73136,"HH",2,0,0,0,0,0,0,0,1,0,0,2,0,0,0
2020,8,63202,"OB",1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
2020,8,66209,"OB",1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
2020,8,65462,"NC",2,1,1,0,0,0,0,0,0,0,0.5,2,0,0,0
2020,8,63260,"HT",4,2,0,0,0,0,0,1,2,0,0.5,5,0,0,0
2020,8,75151,"SK",9,4,1,0,0,3,0,0,3,0,0.444,9,0,0,0
2020,8,69508,"LT",7,3,0,0,0,2,1,0,0,0,0.429,8,1,1,0
2020,8,76849,"NC",87,36,7,1,0,14,11,0,13,0,0.414,100,3,1,2
2020,8,66707,"HH",5,2,0,0,0,0,0,0,1,0,0.4,5,0,0,0
2020,8,79231,"OB",99,39,3,0,1,16,9,0,10,2,0.394,109,4,4,1
2020,8,71837,"SK",32,12,4,0,2,12,3,1,5,2,0.375,38,0,0,2
2020,8,50150,"LG",8,3,0,0,0,0,1,0,2,1,0.375,9,1,0,0
2020,8,62908,"HT",8,3,1,0,0,1,1,0,0,0,0.375,9,0,0,0
2020,8,72443,"HT",91,34,7,1,2,13,11,1,19,1,0.374,103,0,0,0
2020,8,62947,"NC",97,36,7,1,9,29,10,2,22,2,0.371,109,0,0,0
2020,8,62907,"NC",30,11,1,0,1,2,4,1,3,0,0.367,35,0,1,0
2020,8,69209,"OB",104,38,4,0,2,22,9,2,12,5,0.365,118,0,1,3
2020,8,64260,"SK",11,4,1,1,0,3,0,0,3,1,0.364,11,0,0,0
2020,8,76290,"LG",94,34,5,0,6,21,10,2,8,0,0.362,106,0,0,0
2020,8,62025,"NC",36,13,3,2,1,3,1,0,8,0,0.361,38,0,0,1
2020,8,50506,"LT",81,29,10,0,3,9,7,3,7,3,0.358,91,3,0,0
2020,8,77532,"LT",81,29,7,0,4,20,8,0,7,3,0.358,90,0,0,1
2020,8,66838,"SS",59,21,4,0,4,8,4,0,19,2,0.356,64,0,0,1
2020,8,61353,"SK",45,16,4,0,1,7,3,0,3,0,0.356,49,0,1,1
2020,8,68050,"KT",91,32,8,0,4,14,11,1,15,0,0.352,103,1,1,0
2020,8,62415,"SS",94,33,4,1,2,11,5,0,13,1,0.351,100,6,2,1
2020,8,79290,"OB",20,7,0,0,1,4,2,0,5,0,0.35,22,0,1,0
2020,8,78135,"LG",81,28,4,1,5,14,10,1,12,2,0.346,92,1,0,0
2020,8,76802,"SK",61,21,3,1,1,7,4,1,4,0,0.344,67,0,0,1
2020,8,68204,"OB",3,1,0,0,0,0,0,0,1,0,0.333,3,0,0,0
2020,8,63559,"OB",3,1,0,0,0,0,0,1,1,0,0.333,4,0,0,0
2020,8,64086,"OB",3,1,1,0,0,0,1,0,2,0,0.333,4,0,0,0
2020,8,62353,"WO",3,1,0,0,0,0,0,0,1,0,0.333,3,5,0,0
2020,8,68305,"WO",21,7,2,0,0,4,1,0,4,1,0.333,22,0,0,0
2020,8,64890,"SK",12,4,0,0,0,1,0,0,2,1,0.333,12,0,1,0
2020,8,69100,"LG",12,4,0,1,0,1,2,0,3,1,0.333,14,0,0,0
2020,8,65610,"HT",6,2,0,0,0,1,0,0,1,1,0.333,6,0,0,0
2020,8,67341,"WO",97,32,10,0,2,17,7,2,6,4,0.33,107,2,0,1
2020,8,79192,"LG",85,28,5,0,2,22,7,2,18,2,0.329,96,0,1,2
2020,8,73209,"HT",49,16,2,0,0,6,7,0,12,1,0.327,56,0,0,0
2020,8,66108,"LG",92,30,9,3,2,10,15,3,25,2,0.326,112,1,1,2
2020,8,78813,"NC",46,15,3,1,1,4,2,0,8,1,0.326,48,0,0,0
2020,8,76232,"NC",80,26,4,0,5,21,9,5,6,4,0.325,96,3,0,2
2020,8,67304,"WO",93,30,5,1,1,13,6,0,10,0,0.323,99,10,1,0
2020,8,61404,"SS",62,20,3,0,2,7,2,0,10,1,0.323,65,2,1,1
2020,8,64657,"WO",50,16,5,0,1,7,8,5,20,0,0.32,65,1,0,2
2020,8,69652,"HT",88,28,2,0,8,17,15,1,11,0,0.318,104,0,1,0
2020,8,63440,"SK",41,13,0,0,1,11,1,0,8,3,0.317,42,0,0,0
2020,8,62884,"SK",57,18,2,0,0,5,9,0,12,2,0.316,67,0,0,1
2020,8,69992,"NC",19,6,1,1,0,1,5,0,5,0,0.316,25,2,0,1
2020,8,78548,"KT",57,18,2,0,1,10,8,0,4,4,0.316,68,0,0,3
2020,8,67872,"SK",73,23,4,0,5,20,19,2,10,1,0.315,96,1,0,2
2020,8,76267,"OB",86,27,5,1,1,11,9,0,8,1,0.314,98,1,1,3
2020,8,79456,"WO",48,15,1,1,0,6,1,1,5,1,0.313,51,0,1,1
2020,8,74163,"HH",80,25,4,0,0,3,15,2,4,1,0.313,97,2,2,0
2020,8,50350,"WO",87,27,4,0,0,11,11,0,10,4,0.31,99,0,0,1
2020,8,60523,"LT",87,27,2,1,3,13,17,0,15,2,0.31,106,3,0,2
2020,8,65898,"WO",68,21,5,0,3,12,1,0,19,2,0.309,75,0,0,6
2020,8,75334,"OB",85,26,2,0,4,18,9,0,19,1,0.306,94,0,0,0
2020,8,60558,"SK",36,11,4,0,1,8,2,1,2,1,0.306,40,2,1,1
2020,8,74540,"SS",60,18,1,0,4,12,10,2,11,6,0.3,74,0,0,2
2020,8,79215,"OB",94,28,6,0,6,12,5,4,9,1,0.298,104,2,2,1
2020,8,64300,"WO",101,30,3,0,5,23,13,2,8,5,0.297,118,6,0,2
2020,8,78513,"LT",92,27,6,1,3,18,5,2,9,3,0.293,101,1,1,2
2020,8,50923,"NC",58,17,2,0,2,11,8,1,18,1,0.293,68,2,1,1
2020,8,68525,"LT",82,24,2,0,2,9,13,0,19,2,0.293,97,0,0,2
2020,8,63920,"NC",24,7,0,0,0,2,4,0,4,1,0.292,28,0,0,0
2020,8,69737,"HH",52,15,2,2,2,11,4,2,16,2,0.288,59,0,0,1
2020,8,74206,"OB",80,23,3,0,1,6,11,1,10,4,0.288,92,0,0,0
2020,8,50848,"SK",14,4,0,0,2,4,1,1,3,0,0.286,16,0,0,0
2020,8,69860,"SK",14,4,0,0,2,4,1,1,3,0,0.286,NA,NA,NA,NA
2020,8,78217,"LG",7,2,1,0,0,2,1,0,2,0,0.286,8,2,0,0
2020,8,77243,"KT",7,2,0,0,0,1,1,1,2,0,0.286,9,0,0,0
2020,8,66606,"HT",74,21,3,0,1,4,4,1,8,0,0.284,81,5,0,2
2020,8,64868,"KT",67,19,4,0,0,3,10,0,17,1,0.284,77,0,0,0
2020,8,62925,"NC",39,11,2,0,2,6,1,0,3,0,0.282,42,0,1,2
2020,8,65399,"WO",75,21,5,0,2,11,6,1,16,2,0.28,82,0,0,0
2020,8,50458,"SS",75,21,3,0,1,2,8,2,9,0,0.28,85,8,0,0
2020,8,50854,"SK",86,24,5,2,0,5,12,2,11,0,0.279,103,1,1,3
2020,8,78629,"HT",86,24,2,0,4,24,9,2,30,0,0.279,98,0,0,1
2020,8,69418,"SS",54,15,4,0,0,5,0,1,7,2,0.278,56,0,3,1
2020,8,63704,"HH",72,20,3,1,0,6,14,1,14,1,0.278,88,2,2,1
2020,8,78288,"HH",54,15,2,0,1,5,2,5,7,1,0.278,62,0,0,1
2020,8,65506,"LT",18,5,1,0,0,0,3,0,8,0,0.278,22,3,0,1
2020,8,78224,"OB",76,21,3,0,5,14,16,0,21,3,0.276,92,3,0,0
2020,8,62802,"KT",40,11,1,0,1,3,4,1,12,0,0.275,46,2,0,1
2020,8,50600,"HT",40,11,1,0,0,6,0,0,7,0,0.275,41,0,1,1
2020,8,77248,"OB",11,3,0,0,0,2,1,0,5,0,0.273,13,3,1,1
2020,8,64704,"HH",11,3,0,1,0,1,0,0,4,0,0.273,11,0,0,0
2020,8,62556,"LT",22,6,0,0,1,6,4,0,2,1,0.273,28,1,0,2
